,id,miles,price,state,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain,brand,model
812,696624975,145598,7450,NJ,2005,4.2,0,auto,AWD,Black,Black,Used 2005 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
813,699799090,11581,78999,WI,2017,4.0,1,auto,AWD,Mythos Black Metallic,Black,Certified 2017 Audi A8 L 4.0T Sport,8-Speed Automatic | AWD,Audi,A8
814,698848039,38087,39880,WA,2014,3.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
815,699768064,45802,40984,MN,2013,4.0,0,auto,AWD,Black,,Used 2013 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
816,699822108,47590,38995,OK,2014,3.0,0,auto,AWD,Night Blue Pearl,Velvet Beige,Used 2014 Audi A8 3.0T,8-Speed Automatic | AWD,Audi,A8
817,693574562,94500,13996,TX,2008,4.2,0,auto,AWD,Northern Blue Pearl,Linen,Used 2008 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
818,697495950,5452,63000,UT,2016,3.0,1,auto,AWD,Mythos Black Metallic,Black,Certified 2016 Audi A8 L 3.0T,Automatic with Tiptronic | AWD,Audi,A8
819,700707100,16744,47000,FL,2014,4.0,0,auto,AWD,Gray,Black,Used 2014 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
820,697441943,22211,44755,IL,2014,3.0,0,auto,AWD,Night Blue Pearl,Silk Beige,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
821,700085576,23439,48950,TX,2014,3.0,0,auto,AWD,Ibis White,Velvet Beige,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
822,699830762,703,80000,FL,2017,3.0,0,auto,AWD,Monsoon Gray Metallic,Black,Used 2017 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
823,698847281,2186,81996,CA,2017,4.0,1,auto|manual,,Gray,Black W/Valcona Leather Seat Upholstery,Certified 2017 Audi A8 L 4.0T Sport 4D Sedan,automatic with clutchless manual,Audi,A8
824,692740288,2655,71999,PA,2017,3.0,1,auto,,Glacier White Metallic,Nougat Brown,Certified 2017 Audi A8 L 3.0T,8-Speed Automatic with Tiptronic,Audi,A8
825,693869966,3531,68235,SC,2016,3.0,1,auto,,Glacier White Metallic,Velvet Beige,Certified 2016 Audi A8 L 3.0T,8-Speed Automatic with Tiptronic,Audi,A8
826,700705777,3752,68000,CO,2016,3.0,0,auto,AWD,Glacier White Metallic,Black,Used 2016 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
827,697084516,4940,89995,NC,2017,4.0,1,auto,AWD,Glacier White Metallic,Black,Certified 2017 Audi A8 L 4.0T Sport,Automatic with Tiptronic | AWD,Audi,A8
828,698630065,5263,59933,TX,2016,3.0,1,auto,,Mythos Black Metallic,Nougat Brown,Certified 2016 Audi A8 3.0T,Automatic,Audi,A8
829,693541740,5538,61988,CA,2016,3.0,1,auto,,Monsoon Gray Metallic,Black,Certified 2016 Audi A8 3.0T,Automatic,Audi,A8
830,698619851,6760,74988,TN,2017,4.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2017 Audi A8 L 4.0T Sport,Automatic with Tiptronic | AWD,Audi,A8
831,699980384,7845,69594,WA,2016,4.0,1,auto,,Mythos Black Metallic,Black,Certified 2016 Audi A8 L 4.0T Sport,Automatic,Audi,A8
832,699172446,10734,47991,LA,2014,3.0,0,auto,AWD,Phantom Black Pearl,Nougat Brown,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
833,699733214,11851,83155,FL,2017,,1,auto,,Glacier White Metallic,Velvet Beige,Certified 2017 Audi A8 L,Automatic,Audi,A8
834,700077097,19568,44991,GA,2013,4.0,0,auto,AWD,Ice Silver Metallic,Titanium Gray,Used 2013 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
835,700363198,20760,60000,OR,2015,4.0,0,auto,AWD,Black,,Used 2015 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
836,699075809,22370,49222,TX,2014,4.0,1,auto,,Havanna Black Metallic,Black,Certified 2014 Audi A8 4.0T,Automatic,Audi,A8
837,700653219,26001,39981,TX,2013,3.0,0,auto,AWD,White,Beige,Used 2013 Audi A8 3.0T quattro,8-Speed Automatic | AWD,Audi,A8
838,699202056,26155,49991,TX,2015,3.0,0,auto,AWD,Oolong Gray Metallic,Nougat Brown,Used 2015 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
839,700630563,26878,41999,GA,2013,4.0,0,auto,AWD,Black,,Used 2013 Audi A8 4.0T,8-Speed Automatic | AWD,Audi,A8
840,700449789,27054,66693,IL,2016,4.0,0,auto,AWD,Black,,Used 2016 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
841,699885922,27812,51950,MA,2014,3.0,0,auto,AWD,Brilliant Black,Black,Used 2014 Audi A8 L 3.0T,Brilliant Black (ext) | Black (int),Audi,A8
842,699795333,28750,42990,NY,2013,4.0,1,auto,,Phantom Black Pearl,Nougat Brown,Certified 2013 Audi A8 L 4.0T (Tiptronic),8-Speed Automatic with Tiptronic,Audi,A8
843,700122089,29644,38928,AZ,2012,,0,auto|manual,AWD,Oolong Grey Metallic,Balao Brown,Used 2012 Audi A8,8-Speed Automatic w/Manual Shift | AWD,Audi,A8
844,699664074,30572,49920,CA,2013,4.0,0,auto,,Phantom Black Pearl,Black,Used 2013 Audi A8 4.0T,Automatic,Audi,A8
845,696614813,31025,50999,PA,2014,4.0,1,auto,AWD,Phantom Black Pearl,Nougat Brown,Certified 2014 Audi A8 L 4.0T (Tiptronic),8-Speed Automatic with Tiptronic | AWD,Audi,A8
846,699631545,31061,57000,NV,2015,4.0,0,auto,AWD,Glacier White Metallic,Black,Used 2015 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
847,700511835,32445,50970,CA,2015,3.0,0,auto,AWD,,,Used 2015 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
848,698856393,33449,42423,AR,2013,4.0,0,auto,AWD,Black,,Used 2013 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
849,699795297,33543,56927,TX,2015,4.0,1,auto,,Phantom Black Pearl Effect,Black,Certified 2015 Audi A8 4.0T,Automatic,Audi,A8
