,id,miles,price,state,year,capacity,Certified,brand,model,gearbox,dwheel,ext,int,name,powertrain
16,696648060,30633,15194,TN,2014,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
17,697880483,43135,15493,TN,2014,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
18,697986241,15873,18587,WI,2014,2.0,0,Acura,ILX,auto,FWD,Silver Moon,,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
19,699125305,25039,18750,WA,2014,2.0,1,Acura,ILX,auto,FWD,Black,Black,Certified 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
20,699289355,12234,19997,WA,2015,2.0,0,Acura,ILX,auto,FWD,White,,Used 2015 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
21,698826304,38649,19350,NJ,2014,2.0,0,Acura,ILX,auto,FWD,Polished Metal Metallic,Ebony,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
22,696575774,39116,16999,WA,2014,2.0,0,Acura,ILX,auto,FWD,Slv,,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
23,694398439,61931,13415,AZ,2014,2.0,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Parchment,Used 2014 Acura ILX 2.0L Premium,5-Speed Automatic | FWD
24,699998997,20976,17981,CA,2014,2.0,0,Acura,ILX,auto,FWD,White,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
25,693981340,34808,16999,WA,2014,2.0,0,Acura,ILX,auto,FWD,Blue,Black,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
26,696528450,35290,15784,CA,2014,2.0,0,Acura,ILX,auto,FWD,Blue,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
27,697183451,42600,16993,CA,2014,2.0,0,Acura,ILX,auto,FWD,Gray,Ebony,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
28,698922681,48185,16888,WI,2014,2.0,0,Acura,ILX,auto,FWD,Polished Metal Metallic,,Used 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
29,700156334,127,27980,TX,2017,2.4,0,Acura,ILX,auto,FWD,White,Parchment,Used 2017 Acura ILX 2.4 Premium,8-Speed Automatic with Auto-Shift | FWD
30,696987887,1170,25995,RI,2017,,1,Acura,ILX,auto,FWD,Modern Steel Metallic,Ebony,Certified 2017 Acura ILX Premium Package,8-Speed Automatic with Auto-Shift | FWD
31,698084892,1268,26048,FL,2016,2.4,1,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Certified 2016 Acura ILX 2.4 Technology Plus,8-Speed Automatic with Auto-Shift | FWD
32,678698835,1712,20990,OH,2015,2.0,0,Acura,ILX,auto,FWD,Silver,Ebony,Used 2015 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
33,696987922,1881,25995,RI,2017,,1,Acura,ILX,auto,FWD,Gray,Ebony,Certified 2017 Acura ILX Premium Package,8-Speed Automatic with Auto-Shift | FWD
34,699894275,2448,24990,PA,2016,2.4,1,Acura,ILX,auto,FWD,Basque Red Pearl Ii,Parchment,Certified 2016 Acura ILX 2.4L,Automatic | FWD
35,698544682,2467,22500,KS,2017,2.4,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Parchment,Used 2017 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
36,668390383,2872,26490,AL,2017,2.4,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2017 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
37,699914934,2910,27997,NJ,2017,2.4,1,Acura,ILX,auto,FWD,Black,,Certified 2017 Acura ILX 2.4 Technology Plus,8-Speed Automatic with Auto-Shift | FWD
38,698157078,3031,22980,PA,2016,,1,Acura,ILX,auto,FWD,Garnet Red,Parchment,Certified 2016 Acura ILX,8-Speed Automatic with Auto-Shift | FWD
39,700509800,3056,22777,AZ,2017,,0,Acura,ILX,auto,FWD,Modern Steel Metallic,,Used 2017 Acura ILX,8-Speed Automatic with Auto-Shift | FWD
40,668048765,3119,25617,AL,2017,2.4,0,Acura,ILX,auto,FWD,Lunar Silver Metallic,Graystone,Used 2017 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
41,692184830,3272,23278,TX,2016,2.4,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2016 Acura ILX 2.4 Premium,8-Speed Automatic with Auto-Shift | FWD
42,700725428,3328,26498,AL,2017,2.4,0,Acura,ILX,auto,FWD,Catalina Blue Pearl,Graystone,Used 2017 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
43,695481497,3546,26595,NY,2017,,0,Acura,ILX,auto,FWD,Silver,,Used 2017 Acura ILX W/PREM PKG-LOANER,8-Speed Automatic with Auto-Shift | FWD
44,697381524,3952,18495,OH,2013,2.0,0,Acura,ILX,auto,FWD,Silver Moon Metallic,Ebony,Used 2013 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
45,693482209,4057,21994,FL,2017,,1,Acura,ILX,auto|manual,FWD,White,Beige,Certified 2017 Acura ILX,8-Speed Auto-Shift Manual w/OD | FWD
46,697140615,4141,25500,KS,2017,2.4,1,Acura,ILX,auto,FWD,Modern Steel Metallic,Graystone,Certified 2017 Acura ILX 2.4 Technology Plus,8-Speed Automatic with Auto-Shift | FWD
47,699592484,4175,25941,TX,2017,2.4,1,Acura,ILX,auto,FWD,Bellanova White Pearl,Parchment,Certified 2017 Acura ILX 2.4 Premium,8-Speed Automatic with Auto-Shift | FWD
48,699257978,4183,25599,PA,2016,,0,Acura,ILX,auto,FWD,Graphite Luster,,Used 2016 Acura ILX A-SPEC,8-Speed Automatic with Auto-Shift | FWD
49,697149651,4850,23735,NJ,2016,2.4,1,Acura,ILX,auto|manual,FWD,Bellanova White Pearl,Ebony,Certified 2016 Acura ILX 2.4L,8-Speed Auto-Shift Manual w/OD | FWD
50,694876480,5201,14999,MN,2015,2.0,0,Acura,ILX,auto,FWD,Black,Ebony,Used 2015 Acura ILX 2.0L,5-Speed Automatic | FWD
51,694669463,5348,25098,TX,2017,2.4,1,Acura,ILX,auto,FWD,Black,Graystone,Certified 2017 Acura ILX 2.4 Technology Plus,8-Speed Automatic with Auto-Shift | FWD
52,695843696,5438,21500,KS,2016,2.4,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2016 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
53,698285338,5501,27569,LA,2016,2.4,1,Acura,ILX,auto,FWD,Bellanova White Pearl,Parchment,Certified 2016 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
54,696994490,5606,23995,AL,2015,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2015 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
55,687131518,5826,25796,TX,2017,,0,Acura,ILX,auto|manual,FWD,Lunar Silver Metallic,Ebony,Used 2017 Acura ILX Technology Package,8-Speed Auto-Shift Manual w/OD | FWD
56,699592485,6044,24791,TX,2017,,1,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Certified 2017 Acura ILX Base,8-Speed Automatic with Auto-Shift | FWD
57,697872378,6249,21499,AZ,2016,,1,Acura,ILX,auto,FWD,Blue,,Certified 2016 Acura ILX,8-Speed Automatic with Auto-Shift | FWD
58,697145932,6403,25988,FL,2017,,1,Acura,ILX,auto|manual,FWD,Lunar Silver Metallic,Ebony,Certified 2017 Acura ILX w/Premium Pkg,8-Speed Auto-Shift Manual w/OD | FWD
59,700139069,6406,22586,MD,2016,2.4,0,Acura,ILX,auto,FWD,Black,,Used 2016 Acura ILX 2.4L,8-Speed Automatic with Auto-Shift | FWD
60,687327779,6484,25799,FL,2017,2.4,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2017 Acura ILX 2.4 Technology Plus w/ A-SPEC,Crystal Black Pearl (ext) | Ebony (int)
61,699927415,6598,24951,GA,2017,,1,Acura,ILX,auto,FWD,Silver,,Certified 2017 Acura ILX,8-Speed Automatic with Auto-Shift | FWD
62,699818543,6607,18510,VA,2015,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2015 Acura ILX 2.0L Premium,5-Speed Automatic | FWD
63,698196181,6673,20175,NJ,2014,2.0,1,Acura,ILX,auto,FWD,Amber Brownstone,Parchment,Certified 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
64,700543649,7174,24500,FL,2017,,0,Acura,ILX,auto,FWD,Gray,,Used 2017 Acura ILX Premium Package,8-Speed Automatic with Auto-Shift | FWD
65,698810140,7590,27000,TX,2017,,1,Acura,ILX,auto,FWD,Catalina Blue Pearl,Graystone,Certified 2017 Acura ILX W/ACURAWATCH PLUS,8-Speed Automatic with Auto-Shift | FWD
66,697260124,7902,31000,TX,2017,2.4,1,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Certified 2017 Acura ILX 2.4 Technology Plus,8-Speed Automatic with Auto-Shift | FWD
67,696557100,8073,22992,GA,2016,2.4,1,Acura,ILX,auto,FWD,White,Parchment,Certified 2016 Acura ILX 2.4 Premium,8-Speed Automatic with Auto-Shift | FWD
68,694810576,8095,24495,GA,2017,2.4,1,Acura,ILX,auto,FWD,Lunar Silver Metallic,Ebony,Certified 2017 Acura ILX 2.4 Technology Plus,8-Speed Automatic with Auto-Shift | FWD
