,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int
111,699346823,18,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,46800,VA,BMW,5,2016,,1,auto,RWD,Glacier Silver Metallic,Black
112,699347864,32,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,49000,VA,BMW,5,2016,,1,auto,RWD,Cashmere Silver Metallic,Venetian Beige
113,699343769,63,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,49000,NE,BMW,5,2016,,0,auto,AWD,Imperial Blue Metallic,Black
114,699344322,193,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,47000,NE,BMW,5,2016,,0,auto,AWD,Alpine White,Black
115,693420177,443,Used 2017 BMW 530 i,8-Speed Automatic | RWD,57699,GA,BMW,5,2017,,0,auto,RWD,Dark Graphite Metallic,Ivory White
116,693696338,557,Used 2017 BMW 530 i,8-Speed Automatic | RWD,53999,GA,BMW,5,2017,,0,auto,RWD,Black Sapphire Metallic,Beige
117,676129860,878,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,52988,IL,BMW,5,2016,,0,auto,AWD,Blue Metallic,Black
118,697815931,1269,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,61603,MO,BMW,5,2016,,0,auto,AWD,Mineral White Metallic,Black
119,696359617,2357,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,47995,NY,BMW,5,2016,,0,auto,AWD,Space Gray Metallic,Black
120,699098517,2847,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,51395,MO,BMW,5,2016,,0,auto,AWD,Cashmere Silver Metallic,Black
121,698651836,2954,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,44798,MA,BMW,5,2016,,1,auto,AWD,Jet Black,Black
122,695599176,3022,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,51561,MO,BMW,5,2016,,1,auto,AWD,Alpine White,Black
123,695599084,3273,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,51561,MO,BMW,5,2016,,1,auto,AWD,Jet Black,Black
124,694441228,3617,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45983,CO,BMW,5,2016,,0,auto,AWD,Gray,Black
125,682814431,4004,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45597,OH,BMW,5,2016,,1,auto,AWD,Jet Black,Black
126,645050451,4237,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,48488,IL,BMW,5,2016,,1,auto,AWD,Mineral White Metallic,Black
127,690405467,4296,Certified 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,48988,IL,BMW,5,2015,,1,auto,AWD,Carbon Black Metallic,Black
128,691947353,4458,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,47988,NY,BMW,5,2016,,0,auto,AWD,Alpine White,Black
129,696784246,4484,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45596,TX,BMW,5,2016,,0,auto,AWD,Alpine White,Black
130,649775999,4620,Used 2016 BMW 528 i,8-Speed Automatic | RWD,49777,SC,BMW,5,2016,,0,auto,RWD,Mineral Gray Metallic,Black
131,643813738,4650,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,50988,IL,BMW,5,2016,,1,auto,AWD,Cashmere Silver Metallic,Black
132,692179323,4668,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45987,NJ,BMW,5,2016,,0,auto,AWD,Black,Black
133,699485755,4750,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,47999,NY,BMW,5,2016,,1,auto,AWD,Jet Black,Black
134,692332698,5166,Used 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,39000,NJ,BMW,5,2015,,0,auto,AWD,Imperial Blue Metallic,Black
135,692309009,5166,Used 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,39000,NJ,BMW,5,2015,,0,auto,AWD,Imperial Blue Metallic,Black
136,684089146,5215,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,38688,GA,BMW,5,2016,,1,auto,RWD,Jet Black,Venetian Beige
137,692179240,5231,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,46589,NJ,BMW,5,2016,,0,auto,AWD,Gray,Black
138,692099393,5269,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,44328,CA,BMW,5,2016,,1,auto,RWD,Mineral White Metallic,Black
139,700406622,5367,Used 2016 BMW 528 i,8-Speed Automatic | RWD,48988,TX,BMW,5,2016,,0,auto,RWD,Mineral White Metallic,Venetian Beige
140,692179321,5495,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,46995,NJ,BMW,5,2016,,1,auto,AWD,Black,Black
141,695527583,5520,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,51745,MD,BMW,5,2016,,0,auto,AWD,Mineral White Metallic,Venetian Beige
142,689626531,5628,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,47554,NY,BMW,5,2016,,0,auto,AWD,Mediterranean Blue Metallic,Venetian Beige
143,696465370,5649,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45950,NJ,BMW,5,2016,,1,auto,AWD,Dark Graphite Metallic,Black
144,686441180,5670,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,46999,NC,BMW,5,2016,,1,auto,RWD,Black Sapphire Metallic,Black
145,695650131,5741,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,45911,NC,BMW,5,2016,,1,auto,RWD,Glacier Silver Metallic,Black
146,675191877,5836,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,46498,MD,BMW,5,2016,,0,auto,AWD,Alpine White,Black
147,688356565,5881,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,46389,NJ,BMW,5,2016,,0,auto,AWD,Gray,Black
148,692179239,6126,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45899,NJ,BMW,5,2016,,1,auto,AWD,Black,Black
149,646114033,6253,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,50988,IL,BMW,5,2016,,0,auto,AWD,Black Sapphire Metallic,Black
150,700228351,6307,Used 2016 BMW 528 i,8-Speed Automatic | RWD,42900,CA,BMW,5,2016,,0,auto,RWD,Jet Black,Black
151,695876556,6509,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,50480,MI,BMW,5,2016,,0,auto,AWD,Dark Graphite Metallic,Black
152,692179235,6539,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,46987,NJ,BMW,5,2016,,1,auto,AWD,Gray,Black
153,686473157,6712,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,47995,NJ,BMW,5,2016,,1,auto,AWD,Gray,Beige
154,695650123,6718,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,45911,NC,BMW,5,2016,,1,auto,RWD,Dark Graphite Metallic,Ivory White
155,698367962,6727,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,31950,NJ,BMW,5,2014,,1,auto,AWD,Black Sapphire Metallic,Cinnamon Brown
156,695312088,7009,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,47491,NC,BMW,5,2016,,1,auto,RWD,Jet Black,Black
157,653706734,7142,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,44888,IL,BMW,5,2016,,0,auto,AWD,Alpine White,Black
158,695076506,7145,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,48988,IL,BMW,5,2016,,1,auto,AWD,Mineral White Metallic,Mocha
159,700085396,7201,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,48981,GA,BMW,5,2016,,1,auto,RWD,Jatoba Brown Metallic,Cinnamon Brown
160,694110247,7228,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,50855,NJ,BMW,5,2016,,1,auto,AWD,Mediterranean Blue Metallic,Venetian Beige
161,692179234,7271,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45899,NJ,BMW,5,2016,,0,auto,AWD,Black,Black
162,684478603,7350,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,49999,NJ,BMW,5,2016,,0,auto,AWD,Alpine White,Ivory White
163,683156465,7449,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,48489,NJ,BMW,5,2016,,1,auto,AWD,Dark Graphite Metallic,Black
164,683893798,7456,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45300,PA,BMW,5,2016,,1,auto,AWD,Black,
165,688419272,7535,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,41795,NJ,BMW,5,2016,,0,auto,AWD,Alpine White,Black
166,688419001,7650,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,46888,NJ,BMW,5,2016,,0,auto,AWD,Alpine White,Mocha
167,697043667,7698,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,44600,NJ,BMW,5,2016,,1,auto,AWD,Glacier Silver Metallic,Black
168,698880218,7780,Certified 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,54995,MO,BMW,5,2016,,1,auto,AWD,Glacier Silver Metallic,Black
169,695286484,7833,Used 2016 BMW 528 i,8-Speed Automatic | RWD,42971,FL,BMW,5,2016,,0,auto,RWD,Moonstone Metallic,Venetian Beige
170,697596032,7844,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,44000,NJ,BMW,5,2016,,0,auto,AWD,Space Gray Metallic,Black
171,690244087,7949,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,44985,PA,BMW,5,2016,,0,auto,AWD,Glacier Silver Metallic,Black
172,669412498,7976,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,49998,MD,BMW,5,2016,,0,auto,AWD,Mineral Gray Metallic,Venetian Beige
173,690021134,8055,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,43988,NY,BMW,5,2016,,0,auto,AWD,Glacier Silver Metallic,Black
174,646113946,8215,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,46488,IL,BMW,5,2016,,0,auto,AWD,Cashmere Silver Metallic,Black
175,668596211,8274,Used 2016 BMW 528 i,8-Speed Automatic | RWD,38996,GA,BMW,5,2016,,0,auto,RWD,Jet Black,Black
176,694709820,8428,Used 2013 BMW 528 i xDrive,8-Speed Automatic | AWD,32000,NJ,BMW,5,2013,,0,auto,AWD,Dark Graphite Metallic,Black
177,695640530,8450,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,43989,VA,BMW,5,2016,,1,auto,RWD,Mediterranean Blue Metallic,Black
