,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
209,688765972,29217,24900,UT,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
210,700619800,63116,24330,MO,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
211,694573009,77335,23490,CA,Acura,RLX,2014,,1,auto,FWD,Bellanova White Pearl,Ebony,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
212,667378622,7409,49070,MO,Acura,RLX,2016,,0,auto,FWD,Crystal Black,Ebony,Used 2016 Acura RLX Advance,6-Speed Automatic | FWD
213,700656079,8644,29999,FL,Acura,RLX,2016,,0,auto,FWD,White,Ebony,Used 2016 Acura RLX Technology Package,6-Speed Automatic | FWD
214,700656704,8644,29999,FL,Acura,RLX,2016,,0,auto,FWD,White,Ebony,Used 2016 Acura RLX Technology Package,6-Speed Automatic | FWD
215,698243216,26010,26975,WA,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
216,700722568,34293,24400,MD,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Seacoast,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
217,693089524,45239,20999,FL,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX,6-Speed Automatic | FWD
218,699506961,45239,20999,FL,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX,6-Speed Automatic | FWD
219,682660694,56223,23900,MD,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
220,698059123,68082,21100,MA,Acura,RLX,2014,,0,auto,FWD,Silver Moon,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
221,699692597,83276,20515,CO,Acura,RLX,2014,,0,auto,FWD,Forged Silver Metallic,Ebony,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
222,679386043,4740,35995,CA,Acura,RLX,2015,,0,auto,FWD,Pewter Metallic,Greystone,Used 2015 Acura RLX Technology Package,6-Speed Automatic | FWD
223,699256577,5286,35929,IL,Acura,RLX,2015,,1,auto,FWD,Crystal Black Pearl,Greystone,Certified 2015 Acura RLX Advance Package,6-Speed Automatic | FWD
224,699410177,8357,40929,IL,Acura,RLX,2016,,1,auto,FWD,Crystal Black Pearl,Seacoast,Certified 2016 Acura RLX Advance,6-Speed Automatic | FWD
225,698550447,18133,37987,OR,Acura,RLX,2016,,0,auto,FWD,Crystal,Ebony,Used 2016 Acura RLX Technology Package,6-Speed Automatic | FWD
226,695553343,32197,25980,MO,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
