,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
2970,699991419,110969,Used 2007 Lexus IS 250,6-Speed Automatic | RWD,10999,CA,lexus,IS,2007,,0,0,auto,RWD,Silver,
2971,690945200,112432,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,12288,WA,lexus,IS,2007,,0,0,auto,AWD,Burgundy,
2972,696896761,119602,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,10995,KY,lexus,IS,2007,,0,0,auto,AWD,Black Sapphire,Cashmere
2973,700320692,120346,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,9300,NC,lexus,IS,2006,,0,0,auto,AWD,Red,Black
2974,696271288,121476,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,11700,NC,lexus,IS,2007,,0,0,auto,AWD,Obsidian Black,Black
2975,693193923,123325,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,8999,NC,lexus,IS,2007,,0,0,auto,AWD,Silver,Gray
2976,696783714,132600,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,9995,TX,lexus,IS,2008,,0,0,auto,RWD,Tungsten Pearl,Sterling
2977,663762525,139784,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,7400,NY,lexus,IS,2006,,0,0,auto,AWD,Black,Black
2978,699351114,140695,Used 2004 Lexus IS 300,5-Speed Automatic | RWD,8970,WI,lexus,IS,2004,,0,0,auto,RWD,Black,Gray
2979,694688493,140748,Used 2001 Lexus IS 300,5-Speed Automatic | RWD,4999,CO,lexus,IS,2001,,0,0,auto,RWD,Blue,
2980,690584618,144756,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,6999,NY,lexus,IS,2006,,0,0,auto,AWD,Blue Onyx,Gray
2981,698126710,146346,Used 2006 Lexus IS 250,6-Speed Automatic | RWD,10999,AZ,lexus,IS,2006,,0,0,auto,RWD,Blue,Tan
2982,697498186,146358,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,11488,WA,lexus,IS,2006,,0,0,auto,AWD,Silver,Black
2983,696051685,147169,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,8993,IA,lexus,IS,2008,,0,0,auto,RWD,Black Sapphire Pearl,Black
2984,700225456,150395,Used 2003 Lexus IS 300,5-Speed Automatic | RWD,6999,ID,lexus,IS,2003,,0,0,auto,RWD,Millennium Silver Metallic,Ash
2985,683329237,174113,Used 2006 Lexus IS 250,6-Speed Automatic | RWD,7995,TN,lexus,IS,2006,,0,0,auto,RWD,Silver,Black
2986,699483573,177114,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,8495,OR,lexus,IS,2006,,0,0,auto,AWD,Silver,Black
2987,699723297,177851,Used 2001 Lexus IS 300,5-Speed Automatic | RWD,4888,CA,lexus,IS,2001,,0,0,auto,RWD,Yellow,Black
2988,697195966,194425,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,7995,NJ,lexus,IS,2007,,0,0,auto,AWD,Obsidian Black,Black
2989,698947651,107,Used 2017 Lexus IS 300,6-Speed Automatic | AWD,40995,IL,lexus,IS,2017,,0,0,auto,AWD,White,Black
2990,693200986,382,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,32650,CA,lexus,IS,2016,,0,0,auto,AWD,White,Black
2991,696770160,2374,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,35039,NJ,lexus,IS,2016,,0,0,auto,AWD,Obsidian Black,Parchment
2992,699192470,4052,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,29990,NC,lexus,IS,2016,,0,0,auto,RWD,Black,Gray
2993,699110124,6131,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,29990,NC,lexus,IS,2016,,0,0,auto,RWD,Nebula Gray Pearl,Black
2994,696254914,6406,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,35659,IL,lexus,IS,2016,,1,0,auto,AWD,Obsidian Black,Gray
2995,698820902,7608,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,35990,CA,lexus,IS,2016,,1,0,auto,RWD,Eminent White Pearl,
2996,699362169,7974,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,27500,CA,lexus,IS,2014,,0,0,auto,RWD,Gray,Black
2997,693994652,8409,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,34989,IL,lexus,IS,2016,,0,0,auto,AWD,Obsidian Black,Black
2998,691192164,10463,Certified 2014 Lexus IS 250C,Automatic | RWD,38300,CA,lexus,IS,2014,,1,0,auto,RWD,Obsidian,Black
