,id,miles,name,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,powertrain
5938,681840213,270,Used 2015 Mercedes-Benz E350,51853,SC,Benz,E,2015,,0,auto,RWD,Palladium Silver Metallic,Silk Beige / Espresso Brown,7-Speed Automatic | RWD
5939,693660833,5012,Certified 2017 Mercedes-Benz E300,51844,KY,Benz,E,2017,,1,auto,AWD,Iridium Silver,,9-Speed Automatic | AWD
5940,687449104,5922,Used 2017 Mercedes-Benz E300,51820,CT,Benz,E,2017,,0,auto,AWD,Black,Brown,9-Speed Automatic | AWD
5941,700562284,8995,Used 2017 Mercedes-Benz E300 Luxury,51777,IL,Benz,E,2017,,0,auto,RWD,Polar White,Macchiato,Polar White (ext) | Macchiato (int)
5942,698570397,2149,Certified 2017 Mercedes-Benz,51675,CO,Benz,E,2017,,1,auto,AWD,Black,,9-Speed Automatic | AWD
5943,691707636,2451,Used 2017 Mercedes-Benz,51652,IL,Benz,E,2017,,0,auto,AWD,Polar White,Brown,9-Speed Automatic | AWD
5944,698868859,6749,Used 2017 Mercedes-Benz E300 Luxury,51601,TX,Benz,E,2017,,0,auto,RWD,Polar White,Macchiato,9-Speed Automatic | RWD
5945,697327949,8521,Used 2017 Mercedes-Benz E300 Sport,51595,TX,Benz,E,2017,,0,auto,RWD,Polar White,Macchiato,9-Speed Automatic | RWD
5946,698667773,6708,Used 2016 Mercedes-Benz E400 4MATIC,51576,CA,Benz,E,2016,,0,auto,AWD,Mars Red,Black,Automatic | AWD
5947,694814046,10004,Used 2016 Mercedes-Benz E 350 Sport,51570,WA,Benz,E,2016,,0,auto,AWD,Iridium Silver Metallic,Black,7-Speed Automatic w/OD | AWD
5948,695052919,2759,Used 2017 Mercedes-Benz,51565,GA,Benz,E,2017,,0,auto,AWD,Polar White,Macchiato,9-Speed Automatic | AWD
5949,690298343,4817,Used 2017 Mercedes-Benz E300 Sport,51500,VA,Benz,E,2017,,0,auto,RWD,Gray Metallic,Macchiato,9-Speed Automatic | RWD
5950,691845809,8270,Used 2017 Mercedes-Benz,51500,MA,Benz,E,2017,,0,auto,AWD,Black,,9-Speed Automatic | AWD
5951,697078860,8927,Certified 2016 Mercedes-Benz E350W4,51500,CT,Benz,E,2016,,1,auto,AWD,Black,Black Mb-Tex,7-SPEED AUTOMATIC W/OD | AWD
5952,697329061,2954,Used 2017 Mercedes-Benz E300 Luxury,51499,GA,Benz,E,2017,,0,auto,AWD,Black,Black,9-Speed Automatic | AWD
