price_tag,price_t
Benz_E_1987_3.0_E300,39900
Benz_E_1986_3.0_E300,39900
Benz_E_1985_3.0_E300,39900
Benz_E_1984_3.0_E300,39900
Benz_E_1983_3.0_E300,39900
Benz_C_2017_3.0_C430,52000
Benz_C_2017_2.0_C300,39500
Benz_C_2016_4.0_C63,65200
Benz_C_2016_3.0_C450,50800
Benz_C_2016_2.0_C300,38950
Benz_C_2015_3.5_C63,73250
Benz_C_2015_3.5_C350,40575
Benz_C_2015_3.5_C250,34800
Benz_C_2015_3.0_C400,48590
Benz_C_2015_2.0_C300,38400
Benz_C_2014_6.2_C63,73250
Benz_C_2014_3.5_C350,40575
Benz_C_2014_3.0_C300,38400
Benz_C_2014_1.8_C250,34800
Benz_C_2013_6.2_C63,73250
Benz_C_2013_3.5_C350,40575
Benz_C_2013_3.0_C300,38400
Benz_C_2013_1.8_C250,34800
Benz_C_2012_6.2_C63,73250
Benz_C_2012_3.5_C350,40575
Benz_C_2012_3.0_C300,38400
Benz_C_2012_1.8_C250,34800
Benz_C_2011_6.2_C63,73250
Benz_C_2011_3.5_C350,40575
Benz_C_2011_3.0_C300,38400
Benz_C_2010_6.2_C63,73250
Benz_C_2010_3.5_C350,40575
Benz_C_2010_3.0_C300,38400
Benz_C_2009_6.2_C63,73250
Benz_C_2009_3.5_C350,40575
Benz_C_2009_3.0_C300,38400
Benz_C_2008_6.2_C63,73250
Benz_C_2008_3.5_C350,40575
Benz_C_2008_2.8_C300,38400
Benz_C_2007_3.2_C350,40575
Benz_C_2007_2.8_C280,32900
Benz_C_2007_2.3_C230,29200
Benz_C_2006_5.5_C55,54450
Benz_C_2006_3.2_C350,40575
Benz_C_2006_2.8_C280,32900
Benz_C_2006_2.3_C230,29200
Benz_C_2005_5.5_C55,54450
Benz_C_2005_3.2_C320,33150
Benz_C_2005_2.4_C240,32650
Benz_C_2005_2.3_C230,29200
Benz_C_2004_3.5_C320,33150
Benz_C_2004_3.2_C320,33150
Benz_C_2004_2.4_C240,32650
Benz_C_2004_2.3_C230,29200
Benz_C_2003_3.5_C320,33150
Benz_C_2003_3.2_C320,33150
Benz_C_2003_2.4_C240,32650
Benz_C_2003_2.3_C230,29200
Benz_C_2002_3.5_C320,33150
Benz_C_2002_3.2_C320,33150
Benz_C_2002_2.4_C240,32650
Benz_C_2002_2.3_C230,29200
Benz_C_2001_3.2_C320,33150
Benz_C_2001_2.4_C240,32650
Benz_C_2000_2.8_C280,32900
Benz_C_2000_2.3_C230,29200
Benz_C_1999_2.8_C280,32900
Benz_C_1999_2.3_C230,29200
Benz_C_1998_4.3_C430,52000
Benz_C_1998_2.8_C280,32900
Benz_C_1998_2.3_C230,29200
Benz_C_1997_2.8_C280,32900
Benz_C_1997_2.3_C230,29200
Benz_C_1996_2.8_C280,32900
Benz_C_1996_2.2_C220,34400
Benz_C_1995_2.8_C280,32900
Benz_C_1995_2.2_C220,34400
Benz_C_1994_2.8_C280,32900
Benz_C_1994_2.2_C220,34400
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
