price_tag,price,org_price
Benz_C_2004_3.5,14981,
Benz_C_2004_3.2,9990,
Benz_C_2004_2.4,8995,
Benz_C_2004_2.3,14885,
Benz_C_2003_3.5,10988,
Benz_C_2003_3.2,7495,
Benz_C_2003_2.6,6087,
Benz_C_2003_2.4,7998,
Benz_C_2003_2.3,7995,
Benz_C_2002_3.5,8995,
Benz_C_2002_3.2,7995,
Benz_C_2002_2.4,10000,
Benz_C_2002_2.3,8950,
Benz_C_2001_3.2,6000,
Benz_C_2001_2.4,11900,
Benz_C_2000_2.8,4700,
Benz_C_2000_2.3,4995,
Benz_C_1999_3.5,4999,
Benz_C_1999_2.8,4995,
Benz_C_1999_2.3,9885,
Benz_C_1998_4.3,7995,
Benz_C_1998_2.8,6995,
Benz_C_1998_2.3,5495,
Benz_C_1997_3.5,5495,
Benz_C_1997_2.8,5995,
Benz_C_1997_2.3,4995,
Benz_C_1996_2.8,3599,
Benz_C_1996_2.2,6900,
Benz_C_1995_2.8,7900,
Benz_C_1995_2.2,4100,
Benz_C_1994_2.8,2450,
Benz_C_1994_2.2,1950,
Audi_A8_2017_4.0,89995,91500
Audi_A8_2017_3.0,83990,82500
Audi_A8_2016_4.0,107990,91500
Audi_A8_2016_3.0,68235,82500
Audi_A8_2015_6.3,99999,133500
Audi_A8_2015_4.0,72900,91500
Audi_A8_2015_3.0,64888,82500
Audi_A8_2014_6.3,69500,133500
Audi_A8_2014_4.0,55900,91500
Audi_A8_2014_3.0,51950,82500
Audi_A8_2013_6.3,74995,133500
Audi_A8_2013_4.0,53980,91500
Audi_A8_2013_3.0,48900,82500
Audi_A8_2012_6.3,79950,133500
Audi_A8_2012_4.2,42977,78750
Audi_A8_2011_4.2,36995,78750
Audi_A8_2010_4.2,24977,78750
Audi_A8_2009_6.0,30990,120100
Audi_A8_2009_4.2,23994,77900
Audi_A8_2008_6.0,21995,120100
Audi_A8_2008_4.2,22495,77900
Audi_A8_2007_6.0,19900,120100
Audi_A8_2007_4.2,16995,77900
Audi_A8_2006_6.0,16995,120100
Audi_A8_2006_4.2,23995,77900
Audi_A8_2005_6.0,17923,120100
Audi_A8_2005_4.2,17994,77900
Audi_A8_2004_4.2,13495,77900
Audi_A8_2003_4.2,3500,77900
Audi_A8_2002_4.2,5999,77900
Audi_A8_2001_4.2,4999,77900
Audi_A8_2000_4.2,7500,77900
Audi_A6_2017_3.0,68000,58600
Audi_A6_2017_2.0,61635,47600
Audi_A6_2016_3.0,61405,58600
Audi_A6_2016_2.0,65395,47600
